,Unnamed: 0,metroreg,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemp per Tsd.,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crime/population,density,crime/population_log,density_log,unemp_log,gdp_log,year,crimes,unemployment
460,16605,CZ003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",72.0,5430.0,1217676.0,T:Total,Y15-24:From 15 to 24 years,7.1,ICCS0401,361,Ostrava,M,Robbery,CZ,296.4663835043148,224.2497237569061,5.6919338342842885,5.4127602690848855,1.9600947840472696,4.276666119016055,2015,296.4663835043148,7.1
165,4473,AT_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",112.0,63345.0,3897414.0,T:Total,Y15-24:From 15 to 24 years,20.5,ICCS0401,325,Non-metropolitan regions in Austria,N,Robbery,AT,83.388626407151,61.52678190859579,4.423511926049944,4.119472558207915,3.0204248861443626,4.718498871295094,2020,83.388626407151,20.5
181,6177,BE001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,2681.0,3314298.0,T:Total,Y15-24:From 15 to 24 years,19.1,ICCS0401,5416,Bruxelles / Brussel,M,Robbery,BE,1634.131873476676,1236.2170831779188,7.398866978085479,7.119811256234947,2.9496883350525844,4.997212273764115,2020,1634.131873476676,19.1
3200,100296,LT_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",57.0,47468.0,1505820.0,T:Total,Y15-24:From 15 to 24 years,10.6,ICCS0401,510,Non-metropolitan regions in Lithuania,N,Robbery,LT,338.6858987129936,31.72284486390832,5.825073125396333,3.4570370795012826,2.360854001118021,4.04305126783455,2016,338.6858987129936,10.6
2338,69664,ES501M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",60.0,12648.0,925160.0,T:Total,Y15-24:From 15 to 24 years,13.3,ICCS0401,566,Granada,M,Robbery,ES,611.786069436638,73.14674256799493,6.416382661658021,4.292467595620128,2.5877640352277083,4.0943445622221,2020,611.786069436638,13.3
4312,135713,SK002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",57.0,6754.0,796650.0,T:Total,Y15-24:From 15 to 24 years,7.9,ICCS0401,97,Kosice,M,Robbery,SK,121.75986945333584,117.95232454841576,4.802050821949002,4.770280513573142,2.066862759472976,4.04305126783455,2016,121.75986945333584,7.9
2549,76834,IE001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",217.0,7815.0,2069386.0,T:Total,Y15-24:From 15 to 24 years,16.0,ICCS0401,1793,Dublin,M,Robbery,IE,866.4405770600555,264.7966730646193,6.764393528685269,5.578962260028561,2.772588722239781,5.37989735354046,2018,866.4405770600555,16.0
4288,135205,SK001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",171.0,2053.0,641892.0,T:Total,Y15-24:From 15 to 24 years,2.1,ICCS0401,72,Bratislava,M,Robbery,SK,112.16840216111122,312.6604968339016,4.720001332758591,5.745117927202805,0.7419373447293773,5.14166355650266,2017,112.16840216111122,2.1
3242,102276,LV001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",89.0,304.0,1005977.0,T:Total,Y15-24:From 15 to 24 years,4.9,ICCS0401,443,Riga,M,Robbery,LV,440.3679209365622,3309.1348684210525,6.087610561452008,8.10444206515118,1.589235205116581,4.48863636973214,2016,440.3679209365622,4.9
2704,82988,IT005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",63.0,5009.0,1260193.0,T:Total,Y15-24:From 15 to 24 years,14.5,ICCS0401,759,Palermo,M,Robbery,IT,602.2886970487854,251.58574565781592,6.400736893559101,5.527783868443187,2.6741486494265287,4.143134726391533,2018,602.2886970487854,14.5
2740,84276,IT006M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",109.0,1834.0,826194.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS0401,420,Genova,M,Robbery,IT,508.3551805024002,450.4874591057797,6.231180377487381,6.110330238937896,1.4350845252893227,4.691347882229144,2020,508.3551805024002,4.2
281,9733,BE_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",101.0,23950.0,4771070.0,T:Total,Y15-24:From 15 to 24 years,18.6,ICCS0401,3102,Non-metropolitan regions in Belgium,N,Robbery,BE,650.1686204562079,199.20960334029223,6.477231745333622,5.294357553528076,2.923161580719156,4.61512051684126,2019,650.1686204562079,18.6
2203,66374,ES020M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",59.0,13772.0,784292.0,T:Total,Y15-24:From 15 to 24 years,12.3,ICCS0401,286,Córdoba,M,Robbery,ES,364.6601010848,56.948300900377575,5.898965689813895,4.042143854511818,2.509599262378372,4.07753744390572,2020,364.6601010848,12.3
538,19404,DE001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",113.0,17480.0,5259363.0,T:Total,Y15-24:From 15 to 24 years,20.7,ICCS0401,4844,Berlin,M,Robbery,DE,921.0240859967264,300.87889016018306,6.8254861879184805,5.70670782550925,3.030133700271324,4.727387818712341,2018,921.0240859967264,20.7
2876,88868,IT011M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",105.0,2473.0,851057.0,T:Total,Y15-24:From 15 to 24 years,5.4,ICCS0401,276,Venezia,M,Robbery,IT,324.3026025283853,344.13950667205825,5.781677038345473,5.841047117814536,1.6863989535702288,4.653960350157523,2019,324.3026025283853,5.4
2884,89100,IT012M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",113.0,3096.0,921717.0,T:Total,Y15-24:From 15 to 24 years,4.8,ICCS0401,295,Verona,M,Robbery,IT,320.05485414720573,297.7122093023256,5.768492400313196,5.6961272792812805,1.5686159179138452,4.727387818712341,2014,320.05485414720573,4.8
3342,106681,NL001M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",133.0,263.0,1080034.0,T:Total,Y15-24:From 15 to 24 years,9.0,ICCS0401,723,s' Gravenhage,N,Robbery,NL,669.4233700050183,4106.593155893536,6.506416700036686,8.320349047908588,2.19722457733622,4.890349128221754,2017,669.4233700050183,9.0
4340,136329,SK_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",59.0,40228.0,3996314.0,T:Total,Y15-24:From 15 to 24 years,35.0,ICCS0401,341,Non-metropolitan regions in Slovakia,N,Robbery,SK,85.32863033285172,99.34160286367704,4.446510041005766,4.598564444677654,3.555348061489413,4.07753744390572,2016,85.32863033285172,35.0
4107,129760,SE001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",165.0,7153.0,2308143.0,T:Total,Y15-24:From 15 to 24 years,25.1,ICCS0401,2815,Stockholm,M,Robbery,SE,1219.5951464012412,322.68181182720537,7.106274235441735,5.776666734987947,3.2228678461377385,5.10594547390058,2018,1219.5951464012412,25.1
2668,81700,IT004M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",110.0,6827.0,2282197.0,T:Total,Y15-24:From 15 to 24 years,21.3,ICCS0401,1920,Torino,M,Robbery,IT,841.294594638412,334.28987842390507,6.7349418895253255,5.812008516042496,3.05870707271538,4.700480365792417,2016,841.294594638412,21.3
273,9453,BE005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",86.0,1186.0,824404.0,T:Total,Y15-24:From 15 to 24 years,5.7,ICCS0401,1379,Liège,M,Robbery,BE,1672.7235675712395,695.1129848229342,7.42220845575732,6.544074400442585,1.7404661748405046,4.454347296253507,2020,1672.7235675712395,5.7
1642,50932,DK001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",164.0,2779.0,2057142.0,T:Total,Y15-24:From 15 to 24 years,19.0,ICCS0401,896,København,M,Robbery,DK,435.5557370371127,740.2454120187118,6.0766227721150425,6.606981769081659,2.9444389791664403,5.099866427824199,2020,435.5557370371127,19.0
530,19180,DE001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",111.0,17480.0,5143049.0,T:Total,Y15-24:From 15 to 24 years,20.6,ICCS0401,5764,Berlin,M,Robbery,DE,1120.7359680998566,294.22477116704806,7.021740862858895,5.684344003015265,3.025291075795536,4.709530201312334,2016,1120.7359680998566,20.6
1706,52280,DK004M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",108.0,7879.0,582632.0,T:Total,Y15-24:From 15 to 24 years,6.1,ICCS0401,106,Aalborg,M,Robbery,DK,181.9330211866152,73.94745526081991,5.20363860388433,4.303354776946324,1.8082887711792652,4.68213122712422,2015,181.9330211866152,6.1
2932,90772,IT022M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",60.0,2467.0,568258.0,T:Total,Y15-24:From 15 to 24 years,6.1,ICCS0401,131,Taranto,M,Robbery,IT,230.5290906595244,230.34373733279287,5.440377061239132,5.439572703396937,1.8082887711792652,4.0943445622221,2019,230.5290906595244,6.1
2199,66262,ES020M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",62.0,13772.0,783867.0,T:Total,Y15-24:From 15 to 24 years,12.6,ICCS0401,487,Córdoba,M,Robbery,ES,621.2788649094808,56.91744118501307,6.431780038962439,4.0416018176260105,2.533696813957432,4.127134385045092,2019,621.2788649094808,12.6
3357,107101,NL002MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",160.0,5816.0,3269905.0,T:Total,Y15-24:From 15 to 24 years,17.5,ICCS0401,2971,Amsterdam,N,Robbery,NL,908.5890874505528,562.2257565337002,6.8118929429632304,6.331903471250296,2.862200880929469,5.075173815233827,2019,908.5890874505528,17.5
2214,66584,ES021M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",70.0,5817.0,1842446.0,T:Total,Y15-24:From 15 to 24 years,30.1,ICCS0401,2064,Alicante/Alacant - Elche/Elx,M,Robbery,ES,1120.2499286274876,316.7347429946708,7.021307089955014,5.758064650699952,3.40452517175483,4.248495242049359,2016,1120.2499286274876,30.1
2992,92844,IT029M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",110.0,4786.0,1255437.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS0401,297,Brescia,M,Robbery,IT,236.5710107317213,262.3144588382783,5.466248419657685,5.56954400864097,1.5040773967762742,4.700480365792417,2020,236.5710107317213,4.5
3286,104650,MT001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",101.0,247.0,418490.0,T:Total,Y15-24:From 15 to 24 years,2.8,ICCS0401,257,Valletta,M,Robbery,MT,614.1126430739085,1694.2914979757086,6.420178369095918,7.435019937135599,1.029619417181158,4.61512051684126,2016,614.1126430739085,2.8
2002,61432,ES008M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",60.0,1560.0,870415.0,T:Total,Y15-24:From 15 to 24 years,11.4,ICCS0401,540,Las Palmas,M,Robbery,ES,620.3937202368985,557.9583333333334,6.430354309131391,6.324284288147621,2.4336133554004498,4.0943445622221,2020,620.3937202368985,11.4
3828,121373,PT_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",65.0,82835.0,5430857.0,T:Total,Y15-24:From 15 to 24 years,64.3,ICCS0401,3378,Non-metropolitan regions in Portugal,N,Robbery,PT,622.0012789878282,65.56234683406772,6.432942148987593,4.183001549971789,4.163559631243574,4.174387269895637,2014,622.0012789878282,64.3
690,23660,DE013M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",135.0,2973.0,1300687.0,T:Total,Y15-24:From 15 to 24 years,5.1,ICCS0401,909,Hannover,M,Robbery,DE,698.861447834875,437.4998318197107,6.54945250775815,6.081076321385505,1.62924053973028,4.90527477843843,2016,698.861447834875,5.1
2172,65483,ES019M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,2212.0,1137121.0,T:Total,Y15-24:From 15 to 24 years,11.3,ICCS0401,1427,Bilbao,M,Robbery,ES,1254.9236185067375,514.0691681735985,7.134829987966113,6.242357824832771,2.424802725718295,4.736198448394496,2015,1254.9236185067375,11.3
3229,101434,LU001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",269.0,2595.0,590667.0,T:Total,Y15-24:From 15 to 24 years,3.3,ICCS0401,454,Luxembourg,M,Robbery,LU,768.6225910707726,227.61734104046243,6.644600070192642,5.427665890212992,1.1939224684724346,5.594711379601839,2017,768.6225910707726,3.3
3952,125241,RO501M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",76.0,7104.0,683339.0,T:Total,Y15-24:From 15 to 24 years,7.1,ICCS0401,238,Constanta,M,Robbery,RO,348.28979466999544,96.1907376126126,5.8530348765407245,4.566333070423018,1.9600947840472696,4.330733340286331,2015,348.28979466999544,7.1
3384,107731,NL004M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",159.0,1449.0,1295484.0,T:Total,Y15-24:From 15 to 24 years,7.1,ICCS0401,392,Utrecht,N,Robbery,NL,302.58961129585543,894.0538302277432,5.712377469290546,6.795765986143508,1.9600947840472696,5.068904202220232,2018,302.58961129585543,7.1
4125,130138,SE002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",125.0,28778.0,1671783.0,T:Total,Y15-24:From 15 to 24 years,18.0,ICCS0401,1508,Göteborg,M,Robbery,SE,902.0309454037994,58.09239696990757,6.804648827017148,4.062034794191664,2.8903717578961645,4.8283137373023015,2017,902.0309454037994,18.0
277,9593,BE_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",101.0,23950.0,4734893.0,T:Total,Y15-24:From 15 to 24 years,28.0,ICCS0401,3581,Non-metropolitan regions in Belgium,N,Robbery,BE,756.3000895690778,197.6990814196242,6.628438241292597,5.286746083831049,3.332204510175204,4.61512051684126,2017,756.3000895690778,28.0
3235,101628,LU001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",262.0,2595.0,626108.0,T:Total,Y15-24:From 15 to 24 years,5.3,ICCS0401,472,Luxembourg,M,Robbery,LU,753.8635506973238,241.2747591522158,6.62521138438648,5.4859363635633605,1.667706820558076,5.568344503761097,2020,753.8635506973238,5.3
4336,136273,SK_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",64.0,40228.0,4000617.0,T:Total,Y15-24:From 15 to 24 years,45.1,ICCS0401,342,Non-metropolitan regions in Slovakia,N,Robbery,SK,85.4868136589931,99.44856816147956,4.448362137838022,4.599640607624486,3.8088822465086327,4.158883083359672,2015,85.4868136589931,45.1
2820,86964,IT009M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,3703.0,1017551.0,T:Total,Y15-24:From 15 to 24 years,4.4,ICCS0401,555,Bologna,M,Robbery,IT,545.4272070883916,274.7909802862544,6.301569353817807,5.616010736979289,1.4816045409242156,4.912654885736052,2019,545.4272070883916,4.4
2600,79516,IT001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",122.0,5363.0,4253314.0,T:Total,Y15-24:From 15 to 24 years,28.2,ICCS0401,2216,Roma,M,Robbery,IT,521.00550300307,793.0848405743054,6.255760604083516,6.675930202765007,3.339321977944068,4.804021044733257,2020,521.00550300307,28.2
4122,130057,SE002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",126.0,28778.0,1648682.0,T:Total,Y15-24:From 15 to 24 years,21.0,ICCS0401,1539,Göteborg,M,Robbery,SE,933.4729195806104,57.28966571686705,6.8389119530062095,4.048120253473581,3.044522437723423,4.836281906951478,2016,933.4729195806104,21.0
4352,136661,SK_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",58.0,40228.0,3990409.0,T:Total,Y15-24:From 15 to 24 years,20.7,ICCS0401,269,Non-metropolitan regions in Slovakia,N,Robbery,SK,67.41163625082041,99.19481455702496,4.210817647687811,4.597085740313931,3.030133700271324,4.060443010546419,2019,67.41163625082041,20.7
1790,56228,ES001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",124.0,8031.0,6378297.0,T:Total,Y15-24:From 15 to 24 years,105.3,ICCS0401,18466,Madrid,M,Robbery,ES,2895.130157783496,794.2095629435936,7.970785348507154,6.677347359601232,4.6568134191399295,4.820281565605037,2014,2895.130157783496,105.3
1971,60662,ES007M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",74.0,11314.0,1487663.0,T:Total,Y15-24:From 15 to 24 years,19.5,ICCS0401,1536,Murcia - Cartagena,M,Robbery,ES,1032.4919017277434,131.48868658299452,6.939730481441468,4.878920814327323,2.970414465569701,4.30406509320417,2019,1032.4919017277434,19.5
2381,70770,ES_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",82.0,328476.0,11524488.0,T:Total,Y15-24:From 15 to 24 years,138.0,ICCS0401,6779,Non-metropolitan regions in Spain,N,Robbery,ES,588.2256981828608,35.08471851824791,6.37711071469777,3.557765665820363,4.927253685157205,4.406719247264253,2018,588.2256981828608,138.0
3848,121933,PT_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",67.0,82835.0,5273896.0,T:Total,Y15-24:From 15 to 24 years,33.1,ICCS0401,2654,Non-metropolitan regions in Portugal,N,Robbery,PT,503.2332833260269,63.6674835516388,6.221053846533568,4.153673969950221,3.4995332823830174,4.204692619390966,2019,503.2332833260269,33.1
2744,84340,IT007M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3514.0,1007252.0,T:Total,Y15-24:From 15 to 24 years,8.0,ICCS0401,638,Firenze,M,Robbery,IT,633.4065358023612,286.63972680705746,6.451112452653073,5.6582261199089485,2.079441541679836,4.867534450455582,2014,633.4065358023612,8.0
3266,102914,LV_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",42.0,54142.0,929142.0,T:Total,Y15-24:From 15 to 24 years,4.8,ICCS0401,135,Non-metropolitan regions in Latvia,N,Robbery,LV,145.29533698831827,17.161205718296333,4.978768477757884,2.842651354895448,1.5686159179138452,3.737669618283368,2018,145.29533698831827,4.8
1650,51048,DK002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",110.0,5842.0,857030.0,T:Total,Y15-24:From 15 to 24 years,7.6,ICCS0401,275,Århus,M,Robbery,DK,320.87558195162364,146.70147209859638,5.771053452829313,4.988399719853846,2.028148247292285,4.700480365792417,2015,320.87558195162364,7.6
3528,111133,NL511M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",115.0,1492.0,371608.0,T:Total,Y15-24:From 15 to 24 years,1.5,ICCS0401,80,Zwolle,N,Robbery,NL,215.28061828593573,249.0670241286863,5.371942378422775,5.517722033451675,0.4054651081081644,4.74493212836325,2019,215.28061828593573,1.5
2924,90436,IT022M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",63.0,2467.0,583479.0,T:Total,Y15-24:From 15 to 24 years,7.6,ICCS0401,205,Taranto,M,Robbery,IT,351.34083660251696,236.51357924604784,5.861756796758804,5.466005623814522,2.028148247292285,4.143134726391533,2017,351.34083660251696,7.6
4134,130390,SE002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",121.0,28778.0,1725881.0,T:Total,Y15-24:From 15 to 24 years,23.1,ICCS0401,1645,Göteborg,M,Robbery,SE,953.136398164184,59.972235735631386,6.859758018453907,4.093881717386476,3.139832617527748,4.795790545596741,2020,953.136398164184,23.1
1686,51828,DK003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",101.0,3479.0,494049.0,T:Total,Y15-24:From 15 to 24 years,5.6,ICCS0401,117,Odense,M,Robbery,DK,236.81861515760585,142.00891060649613,5.467294511227601,4.955889806382488,1.7227665977411035,4.61512051684126,2017,236.81861515760585,5.6
4194,131692,SE_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",100.0,391583.0,4437729.0,T:Total,Y15-24:From 15 to 24 years,54.6,ICCS0401,2024,Non-metropolitan regions in Sweden,N,Robbery,SE,456.08913928723456,11.33279279233266,6.122688271303544,2.427700540016441,4.000033882750859,4.605170185988092,2019,456.08913928723456,54.6
2423,72398,FI002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",101.0,14613.0,506114.0,T:Total,Y15-24:From 15 to 24 years,6.6,ICCS0401,203,Tampere,M,Robbery,FI,401.09540538297694,34.63450352425922,5.994199317669203,3.5448503968622056,1.88706964903238,4.61512051684126,2016,401.09540538297694,6.6
1813,56826,ES001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,8031.0,6747068.0,T:Total,Y15-24:From 15 to 24 years,63.4,ICCS0401,10688,Madrid,M,Robbery,ES,1584.0954915527752,840.1280039845599,7.367768855628496,6.733554265923743,4.14946386144318,4.736198448394496,2020,1584.0954915527752,63.4
3531,111217,NL511M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",119.0,1492.0,374659.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS0401,42,Zwolle,N,Robbery,NL,112.10193802898102,251.11193029490616,4.7194086183227935,5.525898777161143,1.0986122886681098,4.77912349311153,2020,112.10193802898102,3.0
2720,83444,IT006M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",118.0,1834.0,862175.0,T:Total,Y15-24:From 15 to 24 years,5.0,ICCS0401,459,Genova,M,Robbery,IT,532.3745179342941,470.1063249727372,6.277347222742698,6.152958892465711,1.6094379124341005,4.770684624465665,2015,532.3745179342941,5.0
3172,99512,LT002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",77.0,8086.0,577358.0,T:Total,Y15-24:From 15 to 24 years,3.9,ICCS0401,334,Kaunas,M,Robbery,LT,578.4972235597324,71.40217660153351,6.360433747244051,4.268328353496208,1.3609765531356006,4.343805421853684,2016,578.4972235597324,3.9
2253,67578,ES022M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",79.0,4494.0,941007.0,T:Total,Y15-24:From 15 to 24 years,6.3,ICCS0401,332,Vigo,M,Robbery,ES,352.81352848597305,209.39185580774367,5.865939669446122,5.344207404689366,1.840549633397487,4.3694478524670215,2019,352.81352848597305,6.3
4185,131443,SE_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",103.0,391583.0,4313105.0,T:Total,Y15-24:From 15 to 24 years,54.3,ICCS0401,1841,Non-metropolitan regions in Sweden,N,Robbery,SE,426.83866958954167,11.014535871066926,6.056406118860229,2.3992158432854787,3.9945242269398897,4.634728988229636,2016,426.83866958954167,54.3
2029,62090,ES009M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",91.0,8110.0,520738.0,T:Total,Y15-24:From 15 to 24 years,4.4,ICCS0401,94,Valladolid,M,Robbery,ES,180.51304110704424,64.20937114673242,5.195803025063559,4.16214916806126,1.4816045409242156,4.51085950651685,2020,180.51304110704424,4.4
2315,69066,ES501M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",66.0,12648.0,920484.0,T:Total,Y15-24:From 15 to 24 years,20.7,ICCS0401,901,Granada,M,Robbery,ES,978.832874878868,72.77703984819735,6.886360917926095,4.2874005187572095,3.030133700271324,4.189654742026425,2014,978.832874878868,20.7
37,1565,AT002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,3479.0,622911.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS0401,161,Graz,M,Robbery,AT,258.4638897049498,179.04886461626904,5.554755992527057,5.187658755269737,1.5040773967762742,4.882801922586371,2016,258.4638897049498,4.5
2868,88532,IT011M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",106.0,2473.0,854275.0,T:Total,Y15-24:From 15 to 24 years,1.7,ICCS0401,308,Venezia,M,Robbery,IT,360.5396388750695,345.4407602102709,5.8876019059510165,5.844821167465415,0.5306282510621704,4.663439094112067,2017,360.5396388750695,1.7
